INFO:     Started server process [2632]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-07-22 07:49:56,305 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/384/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,350 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235608/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,352 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/382/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,357 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235612/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,361 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235607/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,376 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/385/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,411 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235605/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,435 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235610/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,450 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235609/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:40,203 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=27.19865833&longitude=78.00598056&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=120&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:50:40,312 | INFO | httpx | HTTP Request: GET https://api.open-meteo.com/v1/forecast?latitude=27.19865833&longitude=78.00598056&current=temperature_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cwind_speed_10m%2Cwind_direction_10m%2Cweather_code&hourly=temperature_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cprecipitation%2Ccloud_cover%2Cvisibility%2Cwind_speed_10m%2Cwind_direction_10m%2Cwind_gusts_10m%2Cboundary_layer_height%2Cweather_code&forecast_hours=120&past_days=7&timezone=UTC&wind_speed_unit=ms "HTTP/1.1 200 OK"
2026-07-22 07:50:40,472 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/860/sensors "HTTP/1.1 200 OK"
2026-07-22 07:50:40,474 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/860/latest "HTTP/1.1 200 OK"
2026-07-22 07:50:50,900 | INFO | httpx | HTTP Request: GET https://firms.modaps.eosdis.nasa.gov/api/area/csv/50c9af0a60ed36988747b7181c16018e/VIIRS_SNPP_NRT/75.00598056,24.19865833,81.00598056,30.19865833/1 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,817 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/1546/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,828 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/14322/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
